Budget Time ,globalType,Deprec CC,Prefix,projectNo,projectTitle,Comments ,Approval / Changes Notes ,Credit Type ,businessDriver,category,Program ,Factor,businessCase,Status,SPPM,CRB,PD,SME,Approved CAs,Capital,Expense ,Oustand CA? (Y/N),Carry over 2016,"Benefit 
P-Score","Cost/ Effort 
P-Score",Overall P-Score,Total RR 2016,Expend.,2014,2016,2017,2018,2019,2020,2021,TOTAL,Total Estimated Proj. Cost,2014,2015,2016,2017,2018,2019,2020,2021,Total Current Estimate ,Total Estimated Proj. Cost
,,659,G160,73388,SIMCA Online Real Time Process Monitoring System,,12/10/14 WBS received. 12/02/14 CA Submitted. 11/20/14 CA issued. 11/18/14 Appr by IMPACT. 11/13/14 Appr by jPMT. ,Global,QSP,New Technologies,Launch and Commercial Excellence,,"As we have run rates have increased we have seen more issues occur due to operational equipment issues.  Discrepancies have also increased (i.e. Post DBX actemra campaign.) Can contribute to sight goal of investigation free lots. SIMCA is expected to improve process monitoring in real time, decrease discrepancies and investigations, potential save batches. ",Execute,Jim Neeleman,John Urban,Mel Davis ,Michael Villacorta,$321k,$299k,$22k,No,No,1.2,2.5,7.8,0.47,,,,,,,,,,$k,#REF!,$263k,,,,,,,$263k,#REF!
MO5,,,G160,73398,MCS Manufacturing Area Wireless Access Point Asset Replacement - 2015,Asset Replacement. Repalcing 49 units and adding 15 new ones. ,7/14/15 CA Appr. 7/09/15 Changed to CA Submitted. 6/12/15 Changed to CA Routing. 6/04/15 Changed to Appr PMT. 11/12/14 SS submitted. 10/16/14 P-scored at jPMT.,Global,QSP,Stay in Business,Reliability and Value,,"Improve current wireless access points in ""dead spots"" within the MFG to satisfy new user requirements and improve network performance. Current system is not reliable and puts in risk operations for lack of control in the system due to connectivity  failure. ",Execute,Scott Fields,John Urban,Mel Davis ,Shane Smith,$274k,$274k,,,No,1.4,2,10.5,0.83,,,$205k,,,,,,$205k,$205k,#REF!,$13k,$216k,,,,,,$229k,#REF!
MO5,,,G161,73399,Frit Handling and Storage,"04/29/16 Total reflects approved CA amount, in addition to $60k for design change. 03/04/15 It has been moved to above the line and need to come to IMPACT for approval. Below the line. Budget $113k 2015. This project was presented along the Optimize Column Movement Device, but was requested to be submitted by itself. ","7/21/15 CA Appr. 7/15/15 CA Submitted. 07/13/15 CA Routing. 07/7/15 Changed to IMPACT Appr. 06/18/15 Changed to PMT Appr. 05/07/15 Per Juan, this project is deffered for bandwith reasons and vendor shop load. 03/04/15 Changed to FXNL Appr per Dave email. 12/18/14 Changed to on Hold. 10/22/14 CA on Hold as it needs to be prioritized for 2015 budget.",Global,QSP,Tech Transfers,Highly Capable Workforce,A2 Business Efficiency,"The current system has some inefficiency: a) the storage does not segregate the frits based on product b) the frit handling requires four people, and c) there is not enough space inside column packing. On the contrary, the new handling and storage methods greatly reduce footprint, increase frit protection, eliminates risk for injury and personnel needed for frit replacement.",Execute,Melanie Yevilov,N/A,N/A,Bahar Dahi / Juan Pacio,$154k,$154k,,,No,1.4,0.6,11.3,1.13,,,$207k,,,,,,$207k,$207k,#REF!,$19k,$153k,,,,,,$172k,#REF!
MO5,,,G160,73406,Guided Wave Radar V-4045 & V-4055,,8/10/15 CA Appr. 8/6/15 CA Submitted. 7/23/15 CA Routing. 7/16/15 PMT Appr. 7/15/15 Revised SS submitted to include V-4055 on the scope. 6/4/15 SS submitted. ,Global,QSP,New Technologies,Agile,,"Ongoing issue which can directly impact product quality and yield. To mitigate the issue the load cells are not being used anymore, instead V-4040 load cells and the BDU are used to estimate weight. Provides more robust process with less external influence and less human intervention. ",Execute,Zaymar Sedra ,John Urban,Alister Hufton,Juan Pacio / Tammy Price,$61k,$61k,,,,1.5,1,12,,,,$17k,,,,,,$17k,$17k,#REF!,$32k,$17k,,,,,,$49k,#REF!
,,,,73409,Solar Power Enabling Project,Original named  Fencing Solar Power Panel Area. Presented at PMT with a range of $460-576k incl. 20% contg. ,9/4/15 CA Appr. 8/30/15 CA Submitted. 8/13/15 CA Routing.  8/04/15 IMPACt Appr. 7/30/15 PMT Appr. 7/16/15 PMT approval deferred. 3/23/15 Cashflow and RR updated. ,Global,QSP,SHE and K-Directives,Highly Capable Workforce,,"OCN has made the decision to do a Solar Lease Agreement (SPPA). This project facilitates the installation of solar panels and associated infrastructure as required by the lease agreement. The solar project supports the Roche Eco-Balance network initiative for sustainability. Projected energy savings over the life of the lease are estimated at $10 million (or higher as energy rates continue to increase). 

",Execute,Melanie Yevilov,Jim Koons,Mel Davis ,Sumner Tison ,$570k,$461k,$109k,No,No,0.8,2.2,5.1,0.11,,,$306k,,,,,,$306k,$306k,#REF!,$132k,$307k,,,,,,$439k,#REF!
MO5,,1359,L160,74119,Harvest Upgrade (New Centrifuge),"In MO5 and T3 the these three projects were reported separately. For 2015 T0 were combined (Centrifuge, Seed Lab, New HCCF). For 2015 MO5 will be seperated again as three projects. ","9/04/15 CA2 Appr. 8/13/15 Full green CA submitted. 8/10/15 CA Routing for full green. 02/25/15 CA Appr. 11/10/14 Ken will submit reviewed cashflow by 11/19 No SS necessary.  8/11/14 OLT and PMs decided to combined all three projects in one, so this one includes Add New HCCF and Seed Lab (Six 20L Bioreactors) 7/3/14 Per Ken's input, we will leave the same budget as we are still  defining the scope.  7/2/14 Sent out email to Ken. ",Individual,QSP,Strategic,Fit for Purpose,,Hermetic centrifugation has been specified by PTDU as a required technical capability of platform processes in order to minimize risk of antibody reduction and batch losses.,Execute 2,Zaymar Sedra ,N/A,PTAA,Ken Hamilton Mark Jones ,"$15,479k",$476k,"$15,003k",Yes,No ,N/A,N/A,60,,,,"$7,039k","$4,885k",,,,,"$11,924k","$11,924k",#REF!,"$3,555k","$4,636k","$7,288k",,,,,"$15,479k",#REF!
MO5,,,L160,74127,Harvest Modifications Start-up,,"7/3/14 Per Ken's input, we will leave the same budget as still we are defining the scope. ",Start-up,QSP,Strategic,Launch Facility,,,Budgeted,Deidre Dunham,Rich Johnson,Alister Hufton,Ken Hamilton,,,,Yes,No,N/A,N/A,60,,,,$125k,"$2,275k",,,,,"$2,400k","$2,400k",#REF!,,$125k,"$2,275k",,,,,"$2,400k",#REF!
MO5,,1275,B160,74268,P2 Downstream Processing Expansion,"Network Portfolio Key Site Project. CA1 approved for $3,377,000 - PI Phase only. M05 2015=$63,700,000 + $1,000,000 Expense. 2016 = $44,390,917. 2017= $234,619. Total project costs = $121,365,536",8/13/15 Full green CA submitted. 8/10/15 CA Routing for final phase. 7/2/14 Followup with Mark and Paola regarding budget adjustment. 6/11/14 - Changed to Exec. JN,Individual,QSP,Strategic,Fit for Purpose,,"The CMContinuum WS3.1 LM Launch Facilities Workstream developed a subsequently recommended to the PTLT for a regional DS Launch Model of which a second purification suite at OCN was a necessary part. Simultaneous manufacturing in two purification suites, supplied from existing cell culture operations while attaining the current run rate of OCN. This project will achieve compliance with the approved strategy for network launch capability and permit the network to execute against the endorsement LM Drug Substance Launch Facilities strategy, part of which is enabling launch of products with a standard and demand at OCN in the USA. ",Execute 2,Zaymar Sedra ,Dirk Ellison,PTAA,Mark Jones / Dirk Ellison,"$193,916k","$185,694k","$8,222k",Yes,Yes,N/A,N/A,60,,,,"$93,652k","$34,280k",,,,,"$127,932k","$127,932k",#REF!,"$58,485k","$93,629k","$34,280k",,,,,"$193,094k",#REF!
MO5,,,B160,74277,P2 DPE Start-Up,,8/13/15 Full green CA submitted. ,Start-up,QSP,Strategic,Fit for Purpose,,"Site support for the design, testing for the engineering runs, plant time for 12 runs, and materials that can be used for both engineering runs and qualification runs. The ISD is based on licensure of the potential product candidates for OCN according to the CMContinuum Designated Launch Facility Strategy.",Execute,Zaymar Sedra ,Rich Johnson,Alister Hufton,Dirk Ellison/ Ken Hamilton,"$51,500k","$51,100k",$400k,,No,N/A,N/A,60,,,,"$4,461k","$40,281k","$6,755k",,,,"$51,497k","$51,497k",#REF!,,"$4,461k","$40,281k","$6,755k",,,,"$51,497k",#REF!
MO5,,,B160,74278,K6 Program - Project 3 - Replace Cold Room Compressors,Change -20 freezer compressors. Phase 2 of the k6 proejcts. Phase 1 would be Replace DX Units. ,11/17/14 Project reviewed. 7/1/14 Budget confimed by Sumner. Dave confirmed not SS will be needed for now. Sent out email asking for it. 6/30/14 Changed SME to Sumner. ,Individual,CTT,SHE and K-Directives,Fit for Purpose,,Complies with Roche K6 directive to reduce R-41A and R-22 refrigerants. Will reduce R-22 refrigerant in all cold rooms across the site by 2018 and R-404 refigerant in the main freezer by 2022. Free standing lab freezers are out fo scope.,FXNL LT Appr,Zaymar Sedra ,TBD,Mel Davis,Geoff Wing,,,,,No,4.4,5.2,16.5,,,,,$603k,"$4,828k","$4,828k",$500k,$500k,"$11,259k","$10,759k",#REF!,,,$603k,"$4,828k","$4,828k",$500k,,"$10,759k",#REF!
MO5,,1275,L160,74279,New Media Technology - HTST / Adventitious,"04/03/15 HTST options reviewed by OLT and received endorsement to proceed with the next phase of funding approval with a project total of $9.5MM. In order to achieve this project total, several items were removed (slides 5 & 6) and the contingency was reduced. In order to maintain a working contingency, each of the project components like install, design, project management, etc. will be judged-down by 10% and the project costs and accountable disciplines. That 10% will be combined with and held as contingency to provide a management reserve. CAPAs 577402 and  740579. Network Portfolio Key Site Project. M05 2015 = $0 Capital + $0 Expense. CAPA - commitment to FDA. Leptospira mitigation. Implement additional adventitious agent barriers (e.g. solution autoclaving, heat treatment, or viral filtration) for solutions which are not HTST compatible. M05 2015 = $7,000,000 Capital + $75,000 Expense. Implement HTST for spinner through N-2 cell culture stages for all solutions which are compatible with HTST treatment. CAPA - commitment to FDA. Leptospira mitigation. To address improved viral control ($2M = 2014, $5M 2015)
","06/02/15 WBS confirmed. 05/22/15 CA Appr. 04/30/15 CA submitted. 04/24/15 CA issued. 03/31/15 Appr by IMPACT but will be subject to SMART & OLT endorsement.  03/26/15 Phase 2 Appr by PMT10/7/14 CA Appr. Changed to Exc 1. 9/17/14 Budget updated accord. CA. 6/30/14 Budget updated according to Scott's input. 6/11/14 Changed to RTO- JN. 6/10/14 Appr by IMPACT. 6/05/14 - Appr by jPMT. CA1 $1,321k, CA2 $7,961k inc Contingency. Total $9,282k. ",Individual,RTO,New Technologies,Reliability and Value,,"In order to fulfill commitment to FDA. OCN currently does not have viral barriers for small scale cell culture medias and solutions. Satifies CAPA 585313, 740579. ",Execute 2,Scott Fields,John Urban,Alister Hufton,Will Jimenez,"$1,115k","$1,095k",$20k,,Yes,3.7,3.8,19.2,,,,"$4,813k","$1,603k",,,,,"$6,415k","$6,415k",#REF!,"$1,984k","$4,947k","$1,591k",,,,,"$9,046k",#REF!
,,1275,,74280,Spare Hasstelloy Columns,"M05 2015 = $1,700,000 Capital + $10,000 Expense. Need column strategy and matrix of current columns to show need for new. Confirm if this is risk mitigation, essential for PCO/run rate. Buy new Hasstelloy Columns (to avoid having to unpack between campaigns and provide backups, 1.8 and 1.4 minimum needed 2014, 1.6 2015)",7/17/14 Changed to Exec. Budget adjusted according to the IMPACT Presentation and CA.,Individual,QSP,Stay in Business,Agile,A5 Product Change Over,Project reduces risk to 5 day PCO my mitigating operation risk at ProA step for both Actemra and Rituxan campaigns. To maintain run rate of 3.p rpw a 3rd column needs to be packed to support the ProA step. With this project the risk of not achieving 5 day PCO is minimized.,Execute,Melanie Yevilov,John Urban,Mel Davis ,Bahar/Karen,"$2,500k","$2,499k",$1k,No,Yes,1.8,2.4,11.6,,,,,,,,,,,$k,#REF!,,,,,,,,,#REF!
MO5,,659,,74302,Waterpooling Remediation,"9/08/15 Project will be susprended until S/D 16. The total project estimate for the MP and BP is $$2,068, if the adittional areas are added to the scope the total estimate woud be $3,06M.  Decision from quality council determined a phased implementation approach and the total cost is being reassessed. Uncertatinty on this project as it was partially approved for Buffer and Media Prep Areas, but depending on the results and lessons learned, the second phase might follow. Network Portfolio Key Site Project. $500K requested, cut to $490K during budget review. This figure to increase to $1.1M to account for all the required external support (viz automation, val & QEV). Note, the early estimate did not have have the fuller analysis that has now been done. Revised to $1.3M, $650K in 2013, $650K in 2014. CAPA 719091","12/09/14 WBS received. 11/17/14 CA submitted. 11/04/14 CA issued. 10/10/14 Appr by BMLT for Phase II. 9/23/14 Appr by IMPACT for Pahse II 9/17/14 Appr by jPMT Phase II with a funding request of $378k inc 10% conting. 7/15/14 Adjust budget according to IMPACT, back to $3,190k. Changed Status to Appr. 7/14/14 Partially approved for Media Prep and Buffer Prep Areas. Phase 2 execution will depend on progress and results of Phase 1 NN. 6/24/14 - Per IMPACT Meeting this project has been canceled by Quality Council. They will come back to IMPACT on 7/08/14 with Close Out Report and Fianancial Summary . 6/11/14 - Changed to Exec. JN",Individual,RTO,Stay in Business,Reliability and Value,,"Global Quality, the site has a CAPA 719091 to mitigate water pooling in response to Global CAPA. Complete not later than Sep 2014. Achieve compliance with Roche/GNE Global and OCN Site Quality. ",Execute 2,Jim Neeleman,John Urban,Alister Hufton,Ken Hmilton / Tim Chen,"$1,690k","$1,665k",$25k,No,Yes,3.4,2.3,23,,,,$370k,$52k,,,,,$421k,$421k,#REF!,$470k,$370k,$50k,,,,,"$2,085k",#REF!
MO5,,1275,L160,74368,Dev/Val Automation Capacity Expansion,6/19/14 - Per Maria's email PCS Development and Validation Environments Capacity Expansion (DeltaV) (74368) is combined with LivePoint Data Analyzer Software Expansion. Both projects are capitalized into one project Dev/Val Automation Capacity Expansion.,"7/07/14 Purchase additional development and validation license for Data Analytics System (DA) was added to this project $24k capital. Combined 74368, LivePoint, Data Analytics DEV/VAL System ",Individual,QSP,Improvements and Efficiencies,Launch and Commercial Excellence,A1 Automation Improvement,"The DEL/VAL system expansion in order to increase the amount of project work, reduce delays in projects, allow MAR charges that correct current automation issues. Evaluation of system indicated we will fall short of required resources for MAR work with upcoming projects. ",Execute,Jim Neeleman,Greg Crecely,Alister Hufton,Matt Hunt / Ravi M.,$24k,$24k,,Yes,No,?,,N/A,,,,$10k,,,,,,$10k,$10k,#REF!,$56k,$10k,,,,,,$555k,#REF!
MO5,,,,74371,Odor Treatment,"12/10/15 Susan/Sumner get OLT decision to defer.  2016 = $1,000,000 Capital. M05 2017 = $4,000,000 Capital","12/15/15 Originally called Waste Water Recovery 11/11/15 PI to start Mid-2016. 03/25/15 Feasibility study will be done in June with a potential to be combined with TDS Remediation. 03/20/15 Per Tim's email this project is pushed out one year. 11/18/14 SC submitted. 11/07/14 Project reviewed, Tim to submit SS by 11/18/14 we will do p-score then. 10/27/14 Changed to Budgeted. 6/30/14 Changed to CTT and budget according to Tim input. Tim will work on the SS for Phase 1 & 2. Will be split on two projects. Later, he will submit Phase 3 SS.  TL",Individual,CTT,SHE and K-Directives,TBD,,Strategic project to detoxify/purify the water and reuse it in the different processes as conservation plan. ,FXNL LT Appr,Melanie Yevilov,Jim Koons,Mel Davis ,Tim Lai ,,,,,No,2.9,6.6,6.8,,,,,$750k,"$4,750k",,,,"$5,500k","$5,500k",#REF!,,,,$750k,"$4,750k",,,"$5,500k",#REF!
MO5,,1891,B160,74373,WFI Generation and Storage System / CUB Expansion,This project has been approved by jPMT in combination with CUB Expansion & Storage Tank for a CA1 of $3.9M. $2.9M Equipment and $1M Design.,06/05/15 WBS confirmed. 06/04/15 CA Appr. 04/30/15 CA submitted. 04/21/15 Appr by IMPACT and CA Routing. 04/09/15 Changed to PMT Appr for Phase 2. 11/04/14 WBS received. 11/03/14 CA approved. 10/10/14 Original CA was rejected and NPV was modified. REVISED CA was submitted today. 9/29/14 CA Submitted. 9/5/14 Appr by BMLT. 8/19/14 Appr by IMPACT. 8/14/14 Apprd by jPMT. 7/18/14 Changed to FLT Appr. 7/17/14 Adjusted budget according to Tim's email 20% for 2014. 7/14/14 Changed PMO Lead. 7/03/14 Sent out email. 6/30/14 It will be executed during P2. Start date Q4 2014. Finish date towards the end of 2015. We need to pull in budget to 2014/2015. The SS will be developed once the project is determined to de during P2.  TL,Individual,QSP,Strategic,Fit for Purpose,,The additional WFI-RO-DI systems will provide system redundancy for repair/maintenance and increased capacity for higher run rates. Current equipment is running at minimum 80% capacity to meet production needs. Existing CUB space is not sufficient. New WFI system cannot be located outside or within any other site building,Execute 2,Zaymar Sedra ,Jim Koons,Alister Hufton,Tim Lai ,"$4,682k","$4,625k",$57k,,Yes,2.9,5.1,11.1,,,,"$5,536k",,,,,,"$5,536k","$5,536k",#REF!,"$6,526k","$5,536k",,,,,,"$13,801k",#REF!
MO5,,1198,L160,74382,Sci&Eng Lab Mods and Equipment,"MO5 / T3 = $13,600k. Total Assesed Project was $13,621k and it was judged down to $12,721k which it is the maount presented to Capital. ","7/20/15 CA Appr. 6/25/15 Changed to CA Subm. 06/10/15 CA issued. 05/07/15 Phase 2 Appr by PMT. 01/30/15 WBS Received. 10/28/14 CA Submitted. 10/10/14 Appr by BMLT. 9/30/17 Appr by IMPACT. 9/17/14 Appr by jPMT. Changed budget accordingly. 9/10/14 Changed name removing ""QC"".8/27/14 Changed to Budgeted. From 8/21/14 meeting, this name might change to reflect that this project will be for Sci&Eng lab only. 7/120/14 Adjusted estimate according to Semsi's email. 7/01/14 SS was received but needs to be approved. 6/25/14 - Working on the Scope Sheet. Changed DL to Greg and PMO Lead Jim - JN/DS",Individual,QSP,Strategic,Launch and Commercial Excellence,,"To expand capacity of Science and Engineering laboratory. Expansion of the laboratory capacity with additional equipment and head count would enable Science and Engineering group to support launching activities at small and pilot scale such as technical transfer, PCPV support, and make-assess-release.",Execute 2,Jim Neeleman,Greg Crecely,Alister Hufton,Fikret Kulenovic,"$4,073k","$3,652k",$421k,,Yes,2,5.1,7.6,,,,"$6,690k",$489k,,,,,"$7,179k","$7,179k",#REF!,"$6,009k","$7,610k",$391k,,,,,"$14,010k",#REF!
MO5,,,,74385,Media Prep Endotoxin/Bioburden Sampling,CAPA 734576. Total Project Cap $3M. 03/09/15 Project included on the SBP with an estimate of $2.5M over 2018-19 with great potential to pull it in.,"6/20/16 Project put on hold due to lack of scope, per Matt's email. 11/13/15 PI phase 2016 no Capital. Planned for 2017 Capital. 8/17/15 SS Submitted missing signature. 4/09/15 Changed to Idea. 6/27/14 Per email this project is removed for lack of definition at this point.  6/25/14 - Working on Scope Sheet. Change DL to Greg and SME to Fikret and PMO Lead Jim  - JN/DS",Individual,QSP,Stay in Business,Reliability and Value,,"Risk of microbial contamination exists in media prep operations for cell culture media. Contaminants can have a negative impact on product output, product quality and patient safety. facilities. Fail to comply with the committment could result in regulatory. The expected benefit of routine monitoring of bioburden and endotoxin is action. that cell culture media can be confirmed to be free of harmful levels of bacteria, exotoxins and endotoxins. This future state results in increased patient safety, improved undestanding and microbial control of open process.",Hold,Melanie Yevilov,Greg Crecely,TBD,Matt Forbes,,,,,,1.4,4.2,6.5,,,,$250k,"$2,750k",,,,,"$3,000k","$3,000k",#REF!,,,,,,,,,#REF!
