,Buckets,Responsible,PD Rep,PM,Project Indicator,projectNo,Project Name,Capital,Expense ,Total,Project Total,,Capital,Expense ,Total,Project Total,Cap Delta,Exp Delta,,Capital,Expense ,Total,Project Total,type,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,2016 TOTAL,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,2017 Total,2018 Total,2019 Total,2020 Total, Check 
,No Control,PTAA,,Paul Coon,Individual Project,74119,Harvest Upgrade (New Centrifuge),"$7,233,192 ","$28,727 ","$7,261,919 ","$12,909,963 ",,"$7,001,377 ","$37,498 ","$7,038,875 ",x,"($231,815)","$8,771 ",,"$4,833,864 ",$0 ,"$4,833,864 ",,C,"-1,073,665","1,175,127","716,470","232,176","-218,864","163,464","617,952","592,711","663,425","566,618","696,116","482,691","4,614,221","848,963","869,364","780,746","750,252","745,479","713,782","651,389","650,075","475,968","469,741","241,646","39,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,236,886", -   , -   , -   , -   
,,,,Paul Coon,,,,,,,,,,,,,,,,,,,,E,759,759,759,655,"-4,584",  $                   -   ,"8,646","4,233","3,375","2,530","3,402","1,097","21,631","48,349",786,746,706,667,  $                 -   ,  $                 -   ,  $                 -   ,  $             -   ,  $             -   ,  $             -   ,  $             -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,254", -   , -   , -   , -   
,Control,Other,,Rich,Startup,74277,P2 DPE Start-Up,"$8,000,000 ",$0 ,"$8,000,000 ","$52,445,136 ",,"$4,461,207 ",$0 ,"$4,461,207 ",x,"($3,538,793)",$0 ,,"$56,410,615 ",$0 ,"$56,410,615 ",,C, -   , -   ,"289,218","102,355","85,634","85,874","311,351","555,504","541,672","700,022","693,396","1,024,182","4,389,208","1,091,468","1,286,172","1,286,143","1,388,325","2,202,685","2,173,637","6,848,891","6,485,494","6,249,591","6,152,633","6,048,042","1,117,132","1,174,214","1,143,878","774,202","700,577","658,045","637,295","542,526","99,371","106,551", -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"42,330,213","5,836,660", -   , -   , -   
,,,,Rich,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Cindy de la ,Expense,98026,Launch Capability Program (LCP),$0 ,"$800,000 ","$800,000 ","$800,000 ",,$0 ,"$800,000 ","$800,000 ",x,$0 ,$0 ,,$0 ,$0 ,$0 ,,C,,,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,E,"66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Tucker,Individual Project,74426,Process VSD and SOV Replacement - 2015,"$489,000 ",$0 ,"$489,000 ","$692,000 ",,"$495,036 ",$0 ,"$495,036 ",x,"$6,036 ",$0 ,,$0 ,$0 ,$0 ,,C,"113,878","19,352","22,994","27,715","70,709","38,038","94,028","153,819","34,066","15,135", -   , -   ,"589,735", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.3
,,,,Tucker,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Matt Hunt,Global,64901,MCS Peripheral Asset Replacement - 2015,"$100,000 ",$0 ,"$100,000 ","$425,200 ",,"$99,984 ",$0 ,"$99,984 ",x,($16),$0 ,,$0 ,$0 ,$0 ,,C,850,"2,301", -   , -   , -   , -   ,"40,000", -   , -   , -   , -   , -   ,"43,151", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.4
,,,,Matt Hunt,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Ravi?,Individual Project,74368,Dev/Val Automation Capacity Expansion,"$10,000 ",$0 ,"$10,000 ","$625,000 ",,"$10,000 ",$0 ,"$10,000 ",x,$0 ,$0 ,,$0 ,$0 ,$0 ,,C,   , -   , -   , -   , -   , -   ,"5,000","5,000", -   , -   , -   , -   ,"10,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Ravi,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,John,Global,73387,MCSBACKUP Phase 2 Tape Retrieval,"$5,000 ",$0 ,"$5,000 ","$52,000 ",,"$5,000 ",$0 ,"$5,000 ",x,$0 ,$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,John,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Jim,Individual Project,74406,Corrosive Chemical Compliance,"$1,812,000 ",$0 ,"$1,812,000 ","$1,910,000 ",,"$1,596,303 ",$0 ,"$1,596,303 ",x,"($215,697)",$0 ,,"$83,733 ",$0 ,"$83,733 ",,C,"5,374", -   , -   , -   , -   , -   ,"257,830","343,773","429,716","343,773","257,830","85,943","1,724,239","83,733", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"83,733", -   , -   , -   ,-0.36
,,,,Jim,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,John,Individual Project,73367,FS & DS Automation Integration,"$10,000 ",$0 ,"$10,000 ","$733,193 ",,"$26,719 ",$0 ,"$26,719 ",x,"$16,719 ",$0 ,,$0 ,$0 ,$0 ,,C,"17,597","8,090","1,032", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"26,719", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.45
,,,,John,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,John,Individual Project,74302,Waterpooling Remediation,"$435,000 ",$0 ,"$435,000 ","$945,000 ",,"$369,682 ",$0 ,"$369,682 ",x,"($65,318)",$0 ,,"$50,426 ",$0 ,"$50,426 ",,C,"7,551","18,543",436,140,"2,192","1,188",0, -   ,"102,062","82,600","77,438","77,438","369,588","50,426", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"50,426", -   , -   , -   ,0.12
,,,,John,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Greg,Individual Project,73356,Supplemental BDU Sampling,"$200,000 ",$0 ,"$200,000 ","$1,674,665 ",,"$157,774 ",$0 ,"$157,774 ",x,"($42,226)",$0 ,,$0 ,$0 ,$0 ,,C,"30,495","82,027","45,252", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"157,774", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.12
,,,,Greg,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,John,Individual Project,74279,New Media Technology - HTST / Adventitious,"$5,444,000 ",$0 ,"$5,444,000 ","$9,106,000 ",,"$4,810,886 ","$1,768 ","$4,812,654 ",x,"($633,114)",$0 ,,"$1,553,492 ","$37,670 ","$1,591,162 ",,C,"165,663","135,843","110,579","654,320","439,710","392,955","529,766","386,012","337,469","596,346","573,142","537,229","4,859,034","518,043","414,000","379,360","171,221","65,757","5,111", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"1,553,492", -   , -   , -   ,-0.21
,,,,John,,,,,,,,,,,,,,  ,,,,,,E,"1,158", -   ,610,"10,812",186, -   , -   , -   , -   , -   ,"37,665","37,665","88,097","37,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,670", -   , -   , -   ,0.51
,Control,CRBB,,Juan,Global,76643,Optimize Column Movement Device,"$128,000 ",$0 ,"$128,000 ","$196,000 ",,"$143,425 ",$0 ,"$143,425 ",x,"$15,425 ",$0 ,,$0 ,$0 ,$0 ,,C,"15,646","30,478",301, -   , -   ,"1,396", -   ,"83,604", -   ,"12,000", -   , -   ,"143,424", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.53
,,,,Juan,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Marcus,Individual Project,74524,Bioburden 2606 IPA Exhaust Improvement,"$12,000 ",$0 ,"$12,000 ","$1,112,000 ",,$0 ,"$8,519 ","$8,519 ",x,"($12,000)","$8,519 ",,$0 ,$0 ,$0 ,,C, -   , -   ,   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Marcus,,,,,,,,,,,,,, ,,,,,,E, -   ,"7,372",594,"4,540", -   , -   , -   ,"2,065", -   , -   , -   , -   ,"14,571", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.01
,Control,Other,,Juan Pacio,Global,73384,Caustic Bath Upgrade,"$9,000 ",$0 ,"$9,000 ","$51,106 ",,"$11,541 ",$459 ,"$12,000 ",x,"$2,541 ",$459 ,,$0 ,$0 ,$0 ,,C, -   , -   ,459, -   , -   , -   , -   , -   , -   , -   , -   , -   ,459, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Juan Pacio,,,,,,,,,,,,,, ,,,,,,E,   ,   ,   ,   ,   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Greg,Individual Project,74490,Hyfish Material Screening Operation,"$460,000 ",$0 ,"$460,000 ","$1,242,000 ",,"$422,880 ",$0 ,"$422,880 ",x,"($37,120)",$0 ,,$0 ,$0 ,$0 ,,C,"193,732","17,831","89,963","60,115","75,235","11,143","140,757","5,242","4,768","2,660", -   , -   ,"601,445", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.33
,,,,Greg,,,,,,,,, ,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Greg,Individual Project,74418,QC Lab Reconfiguration & Equipment,"$3,675,000 ",$0 ,"$3,675,000 ","$3,889,000 ",,"$1,918,122 ","$113,000 ","$2,031,122 ",x,"($1,756,878)","$113,000 ",,"$289,726 ",$0 ,"$289,726 ",,C,977, -   ,474,"1,194","27,009","39,075","374,969","515,455","566,314","874,011","391,642","369,555","3,160,674","143,676","146,050", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"289,726", -   , -   , -   ,-0.04
,,,,Greg,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   , -   ,"1,772","1,471","96,344","1,471", -   ,"12,941","114,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,John/Juan,Global,73399,Frit Handling and Storage,"$108,000 ","$15,000 ","$123,000 ","$138,000 ",,"$191,951 ","$15,000 ","$206,951 ",x,"$83,951 ",$0 ,,$0 ,$0 ,$0 ,,C,952, -   ,"3,967", -   ,487,"1,368","1,414","55,434", -   ,"71,384", -   , -   ,"135,007", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.55
,,,,John/Juan,,,,,,,,,,,,,, ,,,,,,E, -   , -   ,,,,, -   ,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Rich/CRBB,Individual Project,74373,WFI Generation and Storage System / CUB Expansion,"$5,342,000 ","$12,500 ","$5,354,500 ","$11,609,722 ",,"$5,523,133 ","$13,075 ","$5,536,208 ",x,"$181,133 ",$575 ,,$0 ,$0 ,$0 ,,C,"197,543","709,821","1,033,592","629,238","369,536","300,000","750,000","550,000","400,000","250,000","150,000","172,738","5,512,468", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.18
,,,,Rich/CRBB,,,,,,,,,,,,,, ,,,,,,E, -   , -   ,575,322,"22,842",,,,,,,,"23,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.2
x,Control,CRBB,,Marcus,Individual Project,74416,Asphyxiant Gas Remediation,"$99,000 ",$0 ,"$99,000 ","$132,392 ",,"$142,114 ",$0 ,"$142,114 ",x,"$43,114 ",$0 ,,$0 ,$0 ,$0 ,,C,400,345, -   ,"1,002","1,719","2,282","8,716","8,558", -   ,"15,491","25,818","61,964","126,295", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.36
,,,,Marcus,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Tucker,Individual Project,74404,Mezzanine Lift Media Prep: Phase 1B,"$330,000 ",$0 ,"$330,000 ","$592,000 ",,"$201,043 ",($431),"$200,612 ",x,"($128,957)",($431),,$0 ,$0 ,$0 ,,C,"-4,224","84,686","6,258","7,359","43,234","4,867","44,694","20,910","10,296","29,918","15,460","6,981","270,440", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.06
,,,,Tucker,,,,,,,,,,,,,, ,,,,,,E,-576, -   ,145, -   , -   ,,,,,,,,-431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.01
x,Control,CRBB,,Tucker,Global,73398,MCS Manufacturing Area Wireless Access Point Asset Replacement - 2015,"$95,000 ",$0 ,"$95,000 ","$211,000 ",,"$204,700 ",$0 ,"$204,700 ",x,"$109,700 ",$0 ,,$0 ,$0 ,$0 ,,C,"12,050","3,532","11,989","64,001","39,480","64,986","19,790", -   , -   , -   , -   , -   ,"215,828", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.16
,,,,Tucker,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Tucker,Individual Project,74429,Mettler Toledo Weight Transmitter Conversion to Hardy Weight Transmitter - Asset Replacement,"$350,000 ",$0 ,"$350,000 ","$661,000 ",,"$198,197 ",$0 ,"$198,197 ",x,"($151,803)",$0 ,,"$23,445 ",$0 ,"$23,445 ",,C,"4,533","51,474","21,740","10,321","14,170","8,295","14,412","12,703","12,450","11,698","21,457","21,320","204,573","21,320","2,125", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"23,445", -   , -   , -   ,0.15
,,,,Tucker,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Jim,Individual Project,74392,Water Reclaim System,"$676,000 ",$0 ,"$676,000 ","$1,324,000 ",,"$162,102 ",$0 ,"$162,102 ",x,"($513,898)",$0 ,,$0 ,$0 ,$0 ,,C,327, -   ,"1,775", -   , -   ,"8,087","31,595","44,029","31,595","26,438", -   , -   ,"143,845", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-1
,,,,Jim,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Blake,Global,73409,Solar Power Enabling Project,"$271,000 ",$0 ,"$271,000 ","$455,000 ",,"$305,903 ",$0 ,"$305,903 ",x,"$34,903 ",$0 ,,$0 ,$0 ,$0 ,,C,"-8,732","97,060","79,030","93,922","45,936", -   , -   , -   , -   , -   , -   , -   ,"307,216", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.04
